2025.03.18 火曜日
23:19 ️💙 最後は助けただけ
23:50 ️💙 付き合うと思う
23:56 ️💙 ごめんなさい
23:56 ️💙 それはちゃんとします
2025.03.20 木曜日
00:09 ️💙 ごめんー見捨てないでくださいт  ̫ т
00:44 ️💙 33:49
01:47 ️💙 りょーくんと電話してきて
01:47 ️💙 全部終わらせた
01:48 ️💙 やさしいね
01:48 ️💙 ごめんね
01:56 ️💙 わたしに甘いね
09:44 ️💙 おはようやさしいひと
09:45 ️💙 おもしろくてよかったでつ
09:45 ️💙 スタンプ
11:09 ️💙 記憶曖昧〜〜〜〜〜〜
11:10 ️💙 うん
11:11 ️💙 所々はちゃんと覚えてる
11:15 ️💙 それ覚えてるわWWWWWW
11:15 ️💙 気合い入れて会いますねちゃんと
11:16 ️💙 きのうさ
11:16 ️💙 りょーくんとさよならしたっていったじゃん
11:16 ️💙 その時にね
11:17 ️💙 2年後か3年後かもっと先か分からないけど、もう吹っ切れたあさちゃんからまた急に連絡来るのずっと待ってるよって言われて
11:17 ️💙 でも好きじゃ無くなるまで連絡しちゃダメやよって言われて
11:18 ️💙 ブロックしてもいいけど、僕は全部ブロックしないで連絡ずっと待っとるからって言われて
11:18 ️💙 なんかそれ思い出してまた泣いてる
12:58 ️💙 色々考えて
12:58 ️💙 こうせいくんに長文お気持ち表明してきちゃった
13:20 ️💙 元カレと話し合ったっては言った
14:23 ️💙 言わない方がいいと思ったことは言わないで欲しい
15:56 ️💙 昨日の無かったことになった
16:05 ️💙 うん
16:05 ️💙 電話で話しあったの
16:29 ️💙 いっつもやさしいことばくれるねありがと
16:29 ️💙 昨日もたぶんめちゃくちゃ泣きながらりょーくんの話してたと思うたぶん、ごめんへ
16:29 ️💙 ね
17:20 ️💙 えーん神いる
17:20 ️💙 いつも甘えちゃってごめんт  ̫ т
17:48 ️💙 これからもいいですか？
18:06 ️💙 ありがと
18:06 ️💙 てか聞きたいんだけど
18:07 ️💙 専攻科？いくんよね、結構忙しくなるの？
18:10 ️💙 仮面だ
18:10 ️💙 どこ受けるの？
18:10 ️💙 遠くなる？
18:14 ️💙 それ言ったのは覚えてないけど、シラフでもそう思うわ
18:15 ️💙 でも候補にないんだね〜o̴̶̷᷄  ̫ o̴̶̷᷄
18:24 ️💙 ふーん
18:24 ️💙 まあいいですけろ
18:29 ️💙 たしかに
18:29 ️💙 おうえんするね
18:30 ️💙 普通に通う人は
18:30 ️💙 忙しくなるん？就活とか始まるの？
18:38 ️💙 あーそうなんだ
18:38 ️💙 おけありがと
19:05 ️💙 ひー
19:05 ️💙 たいーへんだね
19:25 ️💙 わかる
19:25 ️💙 私昨日それだった
19:25 ️💙 1杯目から結構だったもん
19:29 ️💙 うん
19:29 ️💙 レモンサワーと
19:29 ️💙 チャミスル2本
19:33 ️💙 たぶん
19:33 ️💙 あとその前全然食べてなかったから
19:33 ️💙 昨日のこと全然おぼえてないじゃん言われた
20:25 ️💙 うっそー
20:25 ️💙 わからん？
21:01 ️💙 よかった
21:01 ️💙 明日誰と会うでしょー
21:02 ️💙 むらかみはもうあわないよー
21:24 ️💙 おのももこでした
21:25 ️💙 まだ仲良いのすごくない？
21:37 ️💙 そうなん
21:37 ️💙 帰省のたんびにあってる
21:38 ️💙 たんびって話し言葉なん
21:38 ️💙 度に
21:44 ️💙 夜からこうせいくんと会うかもだけど
21:45 ️💙 さすがにもうバスで帰りたい
21:45 ️💙 熊本のタクシー高い
21:46 ️💙 え⁉️
21:46 ️💙 スタンプ
21:46 ️💙 まじで連絡しちゃうよ
21:46 ️💙 いいの？
21:48 ️💙 スタンプ
21:48 ️💙 までも
21:48 ️💙 23時10分までは大丈夫だから
21:48 ️💙 多分大丈夫
21:50 ️💙 スタンプ
21:50 ️💙 大助かり
21:50 ️💙 こうせいくんに怒られるかな
21:51 ️💙 嫉妬させたろ(=^_^=)とか思てるけろ
21:51 ️💙 やばいかな
21:53 ️💙 今日さ
21:53 ️💙 昨日のなかったことにしたいってLINEした時に
21:53 ️💙 電話で話せる？って来て
21:53 ️💙 言いくるめられる‼️と思って焦ってたけど
21:53 ️💙 全然勝てた
21:56 ️💙 まあね
21:56 ️💙 明日フィルムとファンで買うって教えて
21:58 ️💙 19時‼️
21:59 ️💙 ファンデ
21:59 ️💙 でした
21:59 ️💙 うん
21:59 ️💙 なんかちょうどなくなって
21:59 ️💙 レフィル家にはあるんだけろ
21:59 ️💙 Feeのやつがいいって
22:00 ️💙 妹が言ってたから買ってみる
22:00 ️💙 スタンプ
22:00 ️💙 うん
22:00 ️💙 なんか
22:01 ️💙 こうせいくんのせいで割れたわ
22:01 ️💙 いやまあわたしがわるいけろ
22:01 ️💙 酔わされたので‼️
22:01 ️💙 めちゃくちゃ落としたぽい
22:01 ️💙 スタンプ
22:01 ️💙 かわいいねこれ
22:02 ️💙 スタンプの会いるからなんでもつかえる
22:02 ️💙 スタンプ
22:02 ️💙 スタンプ
22:02 ️💙 やーん
22:02 ️💙 スタンプ
22:03 ️💙 てかこれでさ
22:03 ️💙 23にも会うからさ
22:03 ️💙 服のレパートリーないんだけろ
22:03 ️💙 帰省あんま持って返ってこんし
22:04 ️💙 隈部くんと解散したあとね
22:04 ️💙 会わなくてもいいんだけど
22:04 ️💙 帰りたいーて言ったらかえしてくれるかに
22:04 ️💙 ううん
22:04 ️💙 こうせいくん
22:05 ️💙 会わずに帰りたいーって
22:06 ️💙 氣
22:06 ️💙 これユーザー辞書に入れてる
22:11 ️💙 WWWWWWWWW
22:11 ️💙 おもしろい
22:12 ️💙 あさちゃんも食べたい
22:12 ️💙 ちょうだい
22:12 ️💙 みかんすき
22:12 ️💙 なんでもいいよ
22:13 ️💙 スタンプ
22:13 ️💙 スタンプ
22:13 ️💙 スタンプ
22:14 ️💙 スタンプ
22:14 ️💙 いいよね
22:16 ️💙 使いな
22:16 ️💙 今日さ
22:16 ️💙 こうせいくんがバイト4-22とかで
22:17 ️💙 ギリギリまで電話で揉めてたから朝から何も食べてないの
22:17 ️💙 ごめんそう
22:17 ️💙 可哀想
22:17 ️💙 うん
22:18 ️💙 ね
22:24 ️💙 そんな入ってんの？
22:24 ️💙 たべたよー
22:24 ️💙 私は今から家族とご飯って言ったらキレてた
22:29 ️💙 えーそうなん
22:29 ️💙 今からバ先の人とご飯らしいけど
22:30 ️💙 女かな？😃
22:43 ️💙 男って言ってはいるけろ😃
22:52 ️💙 そうだよねー
22:52 ️💙 スタンプ
22:55 ️💙 画像
22:55 ️💙 しらないでつかてるわ
22:57 ️💙 スタンプ
23:13 ️💙 あさちゃんが辛いの無理って忘れたん？😃
23:13 ️💙 ないでつ
23:14 ️💙 ポックンミョンすき
23:14 ️💙 牛乳で辛くなくする
23:14 ️💙 辛い
23:14 ️💙 チーズ入れる
23:14 ️💙 けどからいけど
23:14 ️💙 ギリギリ
23:14 ️💙 そうそれ
23:14 ️💙 ピンクの袋のやつな
23:14 ️💙 あれね
23:14 ️💙 あれ、りょーくんとお泊まりした時に夜食で食べたの
23:14 ️💙 えー？
23:14 ️💙 ん
23:14 ️💙 スタンプ
23:15 ️💙 りょーくんとスーパーで買い物して作ったから
23:15 ️💙 一緒に住んだらこんなんなんかなーとかおもってた
23:15 ️💙 えーん
23:15 ️💙 スタンプ
23:18 ️💙 わたしはりょーくんとしたいт  ̫ т
23:37 ️💙 ありがとう
23:37 ️💙 まじ早くりょーくん思い出して泣く毎日終わらせてー
23:57 ️💙 いいこと言う
23:57 ️💙 りょーくんこれからも思い出増えるよって言ってたのにな
2025.03.21 金曜日
07:46 ️💙 連絡とってる方が考えること少なかったし泣いてなかったので普通にまた連絡しちゃったт  ̫ т本当に意思弱くてカスなのわかってるけど電話した時もう寂しくなっちゃったん？って優しく受け入れてくれてまた好きになるなどт  ̫ т相手からしたら暇つぶしくらいの存在だって分かってるのにねーт  ̫ т
07:59 ️💙 なんか他の人と話してた時に、また思い出して大泣きしちゃって話聞いてもらったら
08:01 ️💙 連絡たってからそんな思い出す頻度増えてもっと泣くようになったなら、多少辛いかもだけど連絡しながら少しずつ気持ち落ち着けて友達に戻る方が健全だって言われて
08:01 ️💙 その人もそうやってみれんなくなったって
08:01 ️💙 言ってたから、それでもいいんかなって思っちゃった
08:16 ️💙 ほんと？
08:17 ️💙 こうやってダメな自分肯定しちゃう
11:11 ️💙 そうだよねー
11:11 ️💙 こんな風に？😃
11:23 ️💙 うさちゃん
11:23 ️💙 それだーいすき
11:23 ️💙 たくさんもってまつ
11:23 ️💙 スタンプ
13:04 ️💙 急に日傘が必要な陽気
13:06 ️💙 てかさ
13:06 ️💙 村上にリスケ伝わってなかった
13:06 ️💙 今日19時だよね？って来て気まずかった
13:08 ️💙 乗り越えたけど
13:08 ️💙 バス現金しか無理なのに財布開いたら10円しかなくてやばい、熊本都市バス終わてるー
13:11 ️💙 いやできるはずなんだけど
13:11 ️💙 最初それで乗ろうとしたのに
13:11 ️💙 全く反応しなくて
13:11 ️💙 もうほんとにカス
13:11 ️💙 でも
13:11 ️💙 財布から500円玉発掘して生き延びた🤩
13:12 ️💙 スタンプ
13:13 ️💙 nimocaて、全国なん？
13:14 ️💙 JR
13:14 ️💙 人生で乗ったことない
13:14 ️💙 ちょぴっとしか
13:17 ️💙 地下鉄とバスかなー
13:17 ️💙 でも私の家の最寄りと学校の最寄りが線違うから、登校はバスあー！
13:17 ️💙 ねー取れてリバラт  ̫ т
13:17 ️💙 ネイルパーツ無くなたт  ̫ т
13:22 ️💙 スタンプ
13:22 ️💙 そうーパーツ取れてり
13:22 ️💙 この前1回取れて
13:22 ️💙 アルファでくっつけてたのにー
14:45 ️💙 もってたよ
14:45 ️💙 いつももってるよ
14:45 ️💙 常に持ってる
14:45 ️💙 口くっつけてあげよか
15:16 ️💙 しぬおもろい
15:16 ️💙 わたしもいまカラオケいるよ
15:42 ️💙 そうですょ
16:07 ️💙 うける
16:07 ️💙 もうメン地下しか歌ってない
16:12 ️💙 さっき歌った
16:12 ️💙 おのももこがつまんなそうにしてた
17:01 ️💙 聞いたほうがいいよ
17:47 ️💙 コールして
17:51 ️💙 しといて
17:52 ️💙 わかんなき
17:52 ️💙 わたしもしらないからWWW
17:53 ️💙 メン地下の歌は全部コールある‼️
18:03 ️💙 すごWWW
18:03 ️💙 すきっちゅめちゃくちゃ息切れる
19:00 ️💙 助かり
19:00 ️💙 すごいぴったりだ）
19:34 ️💙 こうせいくんと合流
19:39 ️💙 何時までなら送ってくれる？o̴̶̷᷄  ̫ o̴̶̷᷄
19:42 ️💙 やさしーo̴̶̷᷄  ̫ o̴̶̷᷄
19:42 ️💙 ずと街いるん？
19:44 ️💙 えーんわざわざありがとう(emoji)
19:44 ️💙 アイコンもっとかわいいのにして
19:45 ️💙 もっといろうすいやつ
19:46 ️💙 うんWWW
19:55 ️💙 がんばって
19:55 ️💙 あと青系がいい
20:01 ️💙 かわいー
20:01 ️💙 これにしよ
20:04 ️💙 スタンプ
20:05 ️💙 淡くなっていい感じでつ
20:18 ️💙 きゅ
20:26 ️💙 おまえさあ
20:26 ️💙 おこるよ
20:26 ️💙 何したか自分で言ってみて
20:27 ️💙 違うわ
20:29 ️💙 スタンプ
20:29 ️💙 ブロックした
20:29 ️💙 ちくとく
20:29 ️💙 見せたでしょ
20:29 ️💙 人に見せないでって言ったのに
20:29 ️💙 スタンプ
20:31 ️💙 もう
20:31 ️💙 信頼0ね今
20:31 ️💙 いま怒ってる
20:31 ️💙 スタンプ
20:32 ️💙 いやでつ
20:37 ️💙 許されないよ
20:37 ️💙 もうしないでくれたらいいでつ
20:38 ️💙 はぃ
20:39 ️💙 お迎え来てくれたら許すかも(ᐢ.  ̯.ᐢ)
20:39 ️💙 ほか誰にみせたの(emoji)
20:40 ️💙 え違う
20:40 ️💙 こうせいくんにも見せたん？
20:40 ️💙 スタンプ
20:41 ️💙 こうせいくんにしか見せてないん？
20:42 ️💙 ふーん
20:42 ️💙 わかりました
20:42 ️💙 これはなにじゃあ
20:43 ️💙 そゆことにしておきまつ
20:43 ️💙 こうせいだよ
20:43 ️💙 カマかけただけでつ
22:56 ️💙 ならいいよ
23:20 ️💙 何時まで起きてる？
23:20 ️💙 いいよもう、怒ってないから！
23:22 ️💙 明日なんかあるん？？
23:22 ️💙 ねーごめんてばт  ̫ т
23:24 ️💙 たぶん1時半とかなんだけど、起こすのはさすがに申し訳ないかも
23:25 ️💙 えーんありがとт  ̫ т
23:26 ️💙 また連絡します
2025.03.22 土曜日
00:01 ️💙 今カラオケいるんだけどさ
00:02 ️💙 来てって言ったら来る？
00:03 ️💙 うん
00:12 ️💙 私が点数かったら呼べる
00:21 ️💙 きてー！🎶
00:22 ️💙 ジャンカラの
00:22 ️💙 ドンキ側の方！
00:33 ️💙 うんo̴̶̷᷄  ̫ o̴̶̷᷄
00:35 ️💙 やでも、タクシーで帰るでも全然いいからどっちでもいい！
00:41 ️💙 まってるねー
00:41 ️💙 304でつ
01:59 ️💙 まじでごめんт  ̫ т
01:59 ️💙 ゆるしてくださいт  ̫ т
02:00 ️💙 またカラオケ行こ🎶
02:20 ️💙 お互いに許すことにしよ(ᐡ - ·̫ -ᐡ)
02:20 ️💙 たのしかったとても🎶
02:20 ️💙 今日はシラフだったから2人きりちょと気まずかったので来てくれて助かったт  ̫ т
02:42 ️💙 くにやすくんいるととても楽しい(˶ᐢᗜᐢ˶)
02:42 ️💙 覚えといてね
02:42 ️💙 わたしがくにやすくんのこと呼びたいって言ったから不機嫌やさんだった
07:53 ️💙 きゅるしてよかったでしょー！
07:53 ️💙 なんか早く目覚めちゃった
10:43 ️💙 2度寝ちた
10:49 ️💙 こうせいくんがさ
10:49 ️💙 結構だいぶ好いてくれてるんだけどさ
10:50 ️💙 他に出会いあったら普通にそっち行く感じがするからギリギリ信用できない
13:23 ️💙 あるけろ、今だけな氣はする
13:53 ️💙 別にすきでいてほしいとか全く思ってないт  ̫ тたぶんすきになれないし
13:53 ️💙 だからなんか
13:54 ️💙 わたしじゃなくていいじゃんってめっちゃ言ってるんだけど、申し訳なくなってくる
13:55 ️💙 本人にくにやすくんに相談しないでと言われてるので言わないでほしいけど
13:55 ️💙 そんな感じのことも言われて
13:55 ️💙 でもモテそうだしそんな事ないだろと思って
13:55 ️💙 全く信じてはいない
13:57 ️💙 そうそう
14:13 ️💙 そうよねー
14:13 ️💙 でもなんかやっぱり会ってみないとわかんない違和感とかあるじゃん
14:14 ️💙 好きになれなそうなのはそれが大きいかも
14:30 ️💙 なんかさわたしが電話とかすごくすきだから、声とか喋り方に違和感あるとダメなんだけど、それが大きいт  ̫ т
14:51 ️💙 いや違うの
14:51 ️💙 それは別に大丈夫なんだけど
14:51 ️💙 なんかなんだろう女の子にしかしないだろう喋り方で違和感感じる部分があって
14:51 ️💙 それが無理
14:53 ️💙 いや違う
14:53 ️💙 なんか言葉にするの難しいけろ
14:54 ️💙 二人で話してる時の
14:54 ️💙 声のトーンなど全体的に嫌
14:54 ️💙 これはもう仕方ない
14:57 ️💙 こればっかりは会ってみないとわかんないから申し訳ないと思ってるけろ😓
14:59 ️💙 くにやすくんもごめんねせっかく紹介してもらったのにт  ̫ т
15:02 ️💙 しばらくはフリー生活だと思うので仲良くしてくだたい(=^_^=)
16:15 ️💙 帰省中毎日お外出ててつかれる
16:47 ️💙 そうでつ
16:47 ️💙 画像
16:47 ️💙 アサイー生活
16:52 ️💙 なんか流行ってるって感じ
16:52 ️💙 味も美味しいけろ
16:53 ️💙 ねー屋台村行ったことある？
16:53 ️💙 どこおいしいとかある？
17:13 ️💙 じゃあそこ行ってみる
17:13 ️💙 ありがとー
17:26 ️💙 画像
17:26 ️💙 クロワッサン頼んだ
17:47 ️💙 意外と美味しい
18:24 ️💙 おいしーよ
18:24 ️💙 なにしてるる？
18:42 ️💙 えらい！
18:50 ️💙 こんど占い行くわ
18:51 ️💙 そう
18:51 ️💙 恋愛と将来のこと聞きたい
18:53 ️💙 いい占い師紹介してもらった
18:53 ️💙 横浜だけどWWWWWWWWW
19:58 ️💙 中華街の魔女やばいらしい
20:48 ️💙 いやちがう
20:48 ️💙 魔女みたいって言われてるだけWWWWWWWWW
20:58 ️💙 ちがいまつ
20:58 ️💙 占いで全てを決められたい
21:27 ️💙 聞いたことないかも
21:27 ️💙 やばい今日もう家帰ってる
21:30 ️💙 ライブ映像見すぎだから覚えてたわ
21:30 ️💙 今日鍵没収されてるから早く帰ってみた
21:30 ️💙 今日が1番夜遊びしてそうな格好してたのに
21:33 ️💙 ぽてとをだっこしてる
21:33 ️💙 ご飯食べたの6時前とかだからさ
21:33 ️💙 もうおなかすいてる
21:37 ️💙 使っていいよ
21:37 ️💙 ないことはないけど、なぃ
21:37 ️💙 ラーメン食べたい
21:40 ️💙 いまちくとくをあげたんですけろ
21:40 ️💙 見れないねo̴̶̷᷄  ̫ o̴̶̷᷄
21:40 ️💙 食べに行くか買いに行くかしたくて迷ってる
21:42 ️💙 好きなラーメン屋さんは22時閉まるって書いてあったえーん
21:42 ️💙 あとは金龍くらいしかない
21:45 ️💙 はぃ
21:45 ️💙 金龍は12時まで空いてるけろ
21:45 ️💙 普通にコンビニで買うでも良くなってきたけろ
21:45 ️💙 チャーハンの方が食べたくなってきちゃった
21:45 ️💙 わがままなおなか
21:47 ️💙 2kmくらい
21:48 ️💙 まああさちゃんは運転できないカスなので
21:48 ️💙 徒歩30秒のファミマのインスタントで我慢しまつ
21:54 ️💙 そんな都合いい人にならないでくだたい😿
21:54 ️💙 ぽてとおひざにのせてインスタントたべてしあわせになる
21:58 ️💙 うん、わたし普通にじゃあお願い🎶とか言うから気をつけた方がぃぃょ
21:59 ️💙 妹にラーメン食べたいて言ったら家に袋麺あるよって言われたのでそれ食べる🎶
22:03 ️💙 いい人‼️
22:03 ️💙 画像
22:03 ️💙 ゃばぃ
22:08 ️💙 動画
22:08 ️💙 にゃーん😻
22:09 ️💙 さすがに罪詰みみ
22:10 ️💙 (emoji)
22:11 ️💙 でそ
22:11 ️💙 いぬばーじょんあるよ
22:11 ️💙 まってやばい
22:11 ️💙 ありえんうまい
22:11 ️💙 なみだでる
22:11 ️💙 この時間なのもあるわ
22:11 ️💙 神
22:11 ️💙 明日ばり浮腫みそう、ごめん隈部くん
22:11 ️💙 絶対ビジュ悪いわ
22:12 ️💙 うわーまって卵入れ忘れた
22:12 ️💙 カリウムって
22:12 ️💙 何に入ってるの？
22:12 ️💙 スタンプ
22:13 ️💙 海藻食べるわ
22:14 ️💙 てかさ
22:14 ️💙 やぱりお互いのために嫌われるべきだと思ったので
22:14 ️💙 こうせいくんから嫌われるようなムーブずっとしてんの
22:14 ️💙 だから悪口言われるかも
22:14 ️💙 (emoji)
22:15 ️💙 わたしのわるくちきいても
22:16 ️💙 きらいにならないでね
22:18 ️💙 たすかるo̴̶̷᷄  ̫ o̴̶̷᷄
22:18 ️💙 きらわれたらしんでしまぅ
22:41 ️💙 (emoji)
22:41 ️💙 ラーメン食べると何が食べたくなるか、わかる？
23:03 ️💙 すご
23:03 ️💙 せいかい
23:21 ️💙 スタンプ
23:21 ️💙 何アイスがすきかあててみ
23:44 ️💙 酔ってる時はパピコ食べたくなる
23:44 ️💙 でもふだんはちがうの
23:46 ️💙 それは高校までのあさちゃんね
23:46 ️💙 いちごだいすきしろくまさんね
23:48 ️💙 こり、氷が全部練乳の味で最高
23:48 ️💙 絶対に食べてみて
23:48 ️💙 あさちゃん夏はこれを100こたべるよ
23:50 ️💙 スタンプ
23:50 ️💙 あしたなにきてこー
23:50 ️💙 かみどうしよー
23:50 ️💙 なにもきまらない
23:52 ️💙 かわいくてやばい
23:52 ️💙 なんで仲良いのに知らんの
23:52 ️💙 スタンプ
23:53 ️💙 おいo̴̶̷᷄  ̫ o̴̶̷᷄
23:53 ️💙 画像
23:53 ️💙 やべーこいつ
23:53 ️💙 ほまむり
23:53 ️💙 げきめろ
23:54 ️💙 罪詰みみ、ですねo̴̶̷᷄  ̫ o̴̶̷᷄
23:55 ️💙 こうせいくんのさ
23:55 ️💙 喋り方どうのってはなししたじゃん
23:55 ️💙 あれでいうと
23:55 ️💙 りょーくんは究極系
23:55 ️💙 神
23:55 ️💙 さいこー
23:56 ️💙 でも
23:56 ️💙 くにやすくんは
23:56 ️💙 あさちゃんと語彙似てて
23:57 ️💙 それはそれで神
23:57 ️💙 たのしいはなしてて
23:58 ️💙 ぃぃょ、まねっこすき
23:59 ️💙 画像
23:59 ️💙 こいつほんとしねばいいのに
23:59 ️💙 前マジで聞いてたしな
2025.03.23 日曜日
00:01 ️💙 付き合ってたときはあさちゃん以外でするの禁止だったけろ
00:01 ️💙 解禁されたから終わってるこいつ本当に
00:09 ️💙 え⁉️
00:09 ️💙 嫌に決まってるだろーo̴̶̷᷄  ̫ o̴̶̷᷄
00:09 ️💙 絶対に嫌‼️歴代それできてる
00:09 ️💙 例外もいるけろ
00:13 ️💙 そうだよ
00:13 ️💙 ゆるせなぃ
00:24 ️💙 そうですよ
00:24 ️💙 きをつけなさい
00:56 ️💙 りょーくんのことフリーターだと思てたらちゃんと正社員やった
10:55 ️💙 えそうなん⁉️
10:55 ️💙 ちょっと見に行こうかと思ってたんだけど午前中って聞いてやめた
11:39 ️💙 えーいいな
11:39 ️💙 おなかすいた
11:39 ️💙 元カノと話した？😃
13:01 ️💙 しぬWWWWWWWWW
13:01 ️💙 そんないたんだ
14:41 ️💙 まだあってんの？
14:41 ️💙 長いね
15:21 ️💙 スタンプ
15:22 ️💙 なにすはの
15:22 ️💙 る
15:44 ️💙 りょーくんと同じだ
15:44 ️💙 画像
15:45 ️💙 8時に家出なきゃって言ってたから仕事やと思って頑張ってねて言ったらこれ
15:45 ️💙 カス
15:45 ️💙 19時からならわたしが会ってる時LINEできないじゃんт  ̫ т
16:21 ️💙 スタンプ
16:21 ️💙 やったー🎶
16:21 ️💙 メイク途中でねむくなってきてやばい
16:50 ️💙 うーん
16:50 ️💙 早起きしちゃったからかも
16:50 ️💙 玉遊び野郎のせいで
16:50 ️💙 わたしもしたい
16:56 ️💙 最もリスキーなのがしたい
16:59 ️💙 スロットがいい
16:59 ️💙 てか緊張してきたむりかも
16:59 ️💙 はきそう
17:06 ️💙 お店予約した時間だけ教えてもらったけろ
17:06 ️💙 何時に集まるか言われてない
17:06 ️💙 19時前に着くように準備してるけろ
17:06 ️💙 早まったらこまる(´•ᴗ•;ก)
17:07 ️💙 バス着く時間教えてから連絡かえってこないし
17:07 ️💙 まずったかな
17:09 ️💙 めちゃくちゃ浮腫んでてありえんブスだしもう嫌になってきた;(∩´﹏`∩);
17:10 ️💙 てかりょーくんからずと返信来なくてキレそうだしもうぐちゃぐちゃする՞⩌⌯⩌՞
17:11 ️💙 スタンプ
17:14 ️💙 かみがたきめてょ
17:15 ️💙 全て
17:21 ️💙 そんな男ウケ悪いので行ったら殺されそうだけど従うわ
17:22 ️💙 特殊だ
17:23 ️💙 あーりぼんないー
17:23 ️💙 それちょとかんがえたんだけど
17:23 ️💙 リボンないからやめた
17:44 ️💙 結局全然ちがうのにした
17:45 ️💙 はあ緊張する
17:50 ️💙 通町筋
17:50 ️💙 ねーゃばぃ
17:50 ️💙 写真撮って見せようとしたんだけろ
17:50 ️💙 なんか全部だめかもわたし
17:51 ️💙 まじでかわいくない今日
17:51 ️💙 たまにある
17:51 ️💙 めちゃくちゃダメな日これ
18:05 ️💙 結局時間ない中髪の毛変えたからちょ〜手抜きみたいで全部だめだめт  ̫ т
18:05 ️💙 スタンプ
18:05 ️💙 来るの？？
18:05 ️💙 7時ギリやけどクラス会間に合う？？
18:08 ️💙 あんまりかわいくないところ見ないで欲しいですけろ(ᐡ - ·̫ -ᐡ)
18:08 ️💙 てかアウター着てないと寒いかも
18:10 ️💙 寒さにょゎぃからしぬかも
18:14 ️💙 キャミにバカ薄いカーディガンしか来てないので寒い
18:15 ️💙 Twitterで
18:15 ️💙 歩くの好きな女はメンヘラてのみつけてやばい
18:17 ️💙 ねー本当に何度も同じこと言うけど
18:17 ️💙 かわいくないし緊張するしで既に帰りたいの
18:17 ️💙 かわいくない日ってほんとに全部だめになるんわかる？
18:17 ️💙 スタンプ
18:18 ️💙 鏡みて絶望することはない
18:18 ️💙 鏡に映るあさちゃんはいつもかわいいから
18:19 ️💙 写真になるとダメ終わり全てダメカス
18:20 ️💙 わたしより自己肯定感下げるのやめて
18:22 ️💙 てかなんか
18:22 ️💙 ツインテってほんとに短いか、ロングかしか似合わない
18:22 ️💙 ミディアムは似合わないきがする
18:22 ️💙 はぃ
18:22 ️💙 もう少し切りたい
18:23 ️💙 ボブにするか迷ってるけど
18:23 ️💙 一旦三上悠亜くらいにする
18:23 ️💙 画像
18:23 ️💙 これしたいのこの巻き方
18:24 ️💙 友達と髪の長さの話する時三上悠亜基準にしすぎて三上悠亜くらいに切ってって言われる
18:24 ️💙 いや
